Delivery Date,Delivery Hour,Delivery Interval,Repeated Hour Flag,Settlement Point,Settlement Point Type,Settlement Point Price
01/01/2014,13,1,N,HB_BUSAVG,SH,23.69
01/01/2014,13,2,N,HB_BUSAVG,SH,23.49
01/01/2014,13,3,N,HB_BUSAVG,SH,23.58
01/01/2014,13,4,N,HB_BUSAVG,SH,23.45
01/01/2014,14,1,N,HB_BUSAVG,SH,23.43
01/01/2014,14,2,N,HB_BUSAVG,SH,23.34
01/01/2014,14,3,N,HB_BUSAVG,SH,23.18
01/01/2014,14,4,N,HB_BUSAVG,SH,23.07
01/01/2014,15,1,N,HB_BUSAVG,SH,22.93
01/01/2014,15,2,N,HB_BUSAVG,SH,22.98
01/01/2014,15,3,N,HB_BUSAVG,SH,22.71
01/01/2014,15,4,N,HB_BUSAVG,SH,22.61
01/01/2014,16,1,N,HB_BUSAVG,SH,22.88
01/01/2014,16,2,N,HB_BUSAVG,SH,23.0
01/01/2014,16,3,N,HB_BUSAVG,SH,23.03
01/01/2014,16,4,N,HB_BUSAVG,SH,22.93
01/01/2014,17,1,N,HB_BUSAVG,SH,23.04
01/01/2014,17,2,N,HB_BUSAVG,SH,23.22
01/01/2014,17,3,N,HB_BUSAVG,SH,23.38
01/01/2014,17,4,N,HB_BUSAVG,SH,23.57
01/01/2014,18,1,N,HB_BUSAVG,SH,23.89
01/01/2014,18,2,N,HB_BUSAVG,SH,24.42
01/01/2014,18,3,N,HB_BUSAVG,SH,25.87
01/01/2014,18,4,N,HB_BUSAVG,SH,26.18
01/01/2014,19,1,N,HB_BUSAVG,SH,25.88
01/01/2014,19,2,N,HB_BUSAVG,SH,24.2
01/01/2014,19,3,N,HB_BUSAVG,SH,23.41
01/01/2014,19,4,N,HB_BUSAVG,SH,22.98
01/01/2014,20,1,N,HB_BUSAVG,SH,22.93
01/01/2014,20,2,N,HB_BUSAVG,SH,22.87
01/01/2014,20,3,N,HB_BUSAVG,SH,22.86
01/01/2014,20,4,N,HB_BUSAVG,SH,22.82
01/01/2014,21,1,N,HB_BUSAVG,SH,22.89
01/01/2014,21,2,N,HB_BUSAVG,SH,23.18
01/01/2014,21,3,N,HB_BUSAVG,SH,23.11
01/01/2014,21,4,N,HB_BUSAVG,SH,22.91
01/01/2014,22,1,N,HB_BUSAVG,SH,22.87
01/01/2014,22,2,N,HB_BUSAVG,SH,22.67
01/01/2014,22,3,N,HB_BUSAVG,SH,22.87
01/01/2014,22,4,N,HB_BUSAVG,SH,22.7
01/01/2014,23,1,N,HB_BUSAVG,SH,21.96
01/01/2014,23,2,N,HB_BUSAVG,SH,21.74
01/01/2014,23,3,N,HB_BUSAVG,SH,20.62
01/01/2014,23,4,N,HB_BUSAVG,SH,21.15
01/01/2014,24,1,N,HB_BUSAVG,SH,20.61
01/01/2014,24,2,N,HB_BUSAVG,SH,20.53
01/01/2014,24,3,N,HB_BUSAVG,SH,19.54
01/01/2014,24,4,N,HB_BUSAVG,SH,20.52
01/01/2015,1,1,N,HB_BUSAVG,SH,22.5
01/01/2015,1,2,N,HB_BUSAVG,SH,22.56
01/01/2015,1,3,N,HB_BUSAVG,SH,22.42
01/01/2015,1,4,N,HB_BUSAVG,SH,22.39
01/01/2015,2,1,N,HB_BUSAVG,SH,22.39
01/01/2015,2,2,N,HB_BUSAVG,SH,22.36
01/01/2015,2,3,N,HB_BUSAVG,SH,22.26
01/01/2015,2,4,N,HB_BUSAVG,SH,22.21
01/01/2015,3,1,N,HB_BUSAVG,SH,22.18
01/01/2015,3,2,N,HB_BUSAVG,SH,22.22
